餘	Aguri 	Yo	Surplus
愛	Megumi	Ai	Love
愛	Naru	Ai	Love
愛	Yoshi	Ai	Love
愛	Chika	Ai	Love
赤	Aka	Seki	Red
秋	Aki	Shū	Fall
甘	Ama	Kan	Indulgent
阿泥	Hatorihiji	Ane	Muddy Cleft in Mountains
朝	Asa	Chō	Dawn
浅	Asa	Sen	Shallow
婆	Baba	Ba	Old Woman
千	Chi	Sen	Thousand
蝶	Kawahirako	Chō	Butterfly
長	Take	Chō	Long
筆	Fude	Hitsu	Writing Brush
筆	Kushi	Hitsu	Writing Brush
藤	Fuji	Tō	Wisteria
福	Toshi	Fuku	Fortune
福	Tome	Fuku	Fortune
房	Fusa	Bō	Tassel
元	Chika	Gen	Origin
銀	Un	Gin	Silver
濱	Hama	Hin	Shore
花	Hana	Ka	Flower
春	Haru	Shun	Spring
初	Hatsu	Sho	Beginning
雛	Hina	Sū	Chick
姫	Hime	Ki	Princess
久	Hisa	Kyū	Longevity
今	Ima	Kon	Now
稲	Ina	Tō	Rice Shoots
稲	Ine	Tō	Rice Shoots
糸	Ito	Shi	Thread
岩	Iwa	Gan	Boulder
勝	Kachi	Shō	Victory
鎌	Kama	Ren	Sickle
亀	Kame	Ki	Turtle
金	Kana	Kin	Gold
金	Kane	Kin	Gold
兼	Kane	Ken	Double
勝	Katsu	Shō	Victory
川	Kawa	Sen	River
吉	Yoshi	Kichi	Good Luck
菊	Kiku	Kiku	Chrysanthenum
絹	Kinu	Ken	Silk
清	Kiyo	Sei	Pure
駒	Koma	Ku	Pony
熊	Kuma	Yū	Bear
久米	Hisame	Kume	Everlasting Rice
九目	Kume	Kumoku	Nine Eyes
國	Kuni	Koku	Country
邦	Kuni	Hō	Country
蔵	Kura	Sō	Storehouse
栗	Kuri	Ritsu	Sweet Chestnut
黒	Kuro	Koku	Black
桑	Kuwa	Sō	Mulberry
町	Machi	Chō	Town
萬	Kazu	Man	Ten Thousand
正	Masa	Sei	Upright
雅	Masa	Ga	Elegant
松	Matsu	Shō	Pine
峰	Mine	Hō	Mountain Peak
蓑	Mino	Se	Straw Raincoat
光	Mitsu	Kō	Shining
宮	Miya	Kyū	Shrine
百	Momo	Hyaku	Hundred
桃	Momo	Tō	Peach
中	Naka	Chū	Middle
七	Nana	Shichi	Seven
寧々	Nana	Nana	Tranquil
夏	Natsu	Ka	Summer
庭	Niwa	Tei	Garden
乙	Oto	Otsu	Second
六	Mutsu	Roku	Six
才	Kado	Sai	Talented
岬	Saki	Kō	Cape
沢	Sawa	Taku	Marsh
石	Ishi	Seki	Stone
千	Kazu	Sen	Thousand
千	Chi	Sen	Thousand
千	Yuki	Sen	Thousand
島	Shima	Tō	Island
霜	Shimo	Sō	Frost
品	Shina	Hin	Refinement
篠	Shino	Zō	Slender Bamboo
塩	Shio	En	Salt
染	Some	Sen	Dye
末	Sue	Matsu	Final
椙	Sugi	Shō	Cedar
助	Suke	Jo	Helper
好	Suki	Kō	Beloved
墨	Sumi	Boku	Ink
捨	Sute	Sha	Foundling
竹	Take	Chiku	Bamboo
玉	Tama	Gyoku	Jewel
丹	Tame	Tan	Vermillion
辰	Tatsu	Shin	Dragon Sign
徳	Atsu	Toku	Virtuous
留	Tome	Ryū	Stop
虎	Tora	Ko	Tiger
鳥	Tori	Chō	Bird
豊	Toyo	Hō	Abundance
妻	Tsuma	Sei	Wife
綱	Tsuna	Kō	Rope
恒	Tsune	Kō	Constant
鸛	Tsuru	Kan	Crane
蔦	Tsuta	Chō	Ivy
艶	Tsuya	En	Beauty
馬	Uma	Ba	Horse
梅	Ume	Bai	Plum
蒸	Musu	Jō	Steam
牛	Ushi	Gyū	Ox
歌	Uta	Ka	Song
山	Yama	San	Mountain
康	Yasu	Kō	Peace
嫁	Yome	Ka	Marriage
米	Yone	Bei	Rice
良	Yoshi	Ryō	Good
幸	Yuki	Kō	Happiness
雪	Yuki	Setsu	Snow
